ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChese, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,SaltNPepper,Scented, Salza
 1,     10,     0,     0,     9,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
 2,     7,     0,     0,     11,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
 3,     8,     0,     0,     8,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
 4,     0,     0,     0,     0,     8,     0,     10,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
 5,     0,     0,     0,     0,     9,     0,     9,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
 6,     0,     0,     0,     0,     10,     0,     8,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
 7,     0,     0,     0,     0,     0,     0,     0,     0,     0,     11,     0,     0,     0,     11,     0,     0,     0,     0,     0,     0
 8,     0,     0,     0,     0,     0,     0,     0,     0,     0,     12,     0,     0,     0,    8,     0,     0,     0,     0,     0,     0
 9,     0,     0,     0,     0,     0,     0,     0,     0,     0,     13,     0,     0,     0,     9,     0,     0,     0,     0,     0,     0
 10,    0,     0,     7,     0,     0,     15,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
 11,    0,     0,     10,     0,     0,     12,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
 12,    0,     0,     13,     0,     0,     13,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0